               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099289,            0.017361,            0.036389,            0.010867,             0.48169,             0.10769,            0.048728,            0.086087,            0.014145,            0.032371,             0.00325,             0.00325,             0.07075
                   1,            0.075463,            0.016947,            0.024474,             0.55937,             0.18905,             0.23283,             0.11144,             0.07929,            0.010227,            0.017499,           0.0065182,           0.0065182,            0.040685
                   2,            0.074075,            0.015045,            0.014616,             0.51737,             0.29159,             0.31638,              0.1408,            0.085951,           0.0088173,             0.01254,           0.0097203,           0.0097203,            0.010554
                   3,            0.067347,            0.013173,            0.010328,             0.43984,             0.52405,             0.40613,             0.17157,            0.075843,            0.010239,            0.014425,            0.009703,            0.009703,            0.009703
                   4,            0.059846,            0.012689,           0.0078892,             0.55117,             0.60374,              0.4807,             0.25296,            0.064759,           0.0076547,           0.0057521,            0.009703,            0.009703,            0.009703
                   5,            0.054804,             0.01191,            0.007123,             0.57299,             0.68217,             0.59057,             0.30361,            0.058456,           0.0078464,           0.0059152,            0.009604,            0.009604,            0.009604
                   6,            0.050551,            0.010588,           0.0059317,             0.77671,             0.64984,             0.66321,             0.36813,            0.061421,           0.0069301,             0.01544,            0.009505,            0.009505,            0.009505
                   7,            0.050681,            0.010498,           0.0085394,             0.78284,             0.46567,             0.56079,             0.30901,             0.05335,           0.0075263,            0.006492,            0.009406,            0.009406,            0.009406
                   8,            0.047525,            0.011581,           0.0084213,             0.75263,             0.62483,             0.67269,             0.42218,            0.050443,           0.0071139,           0.0082921,            0.009307,            0.009307,            0.009307
                   9,            0.046205,             0.01079,           0.0061319,              0.7125,              0.6799,             0.72199,             0.44012,            0.046298,            0.005987,           0.0061597,            0.009208,            0.009208,            0.009208
                  10,            0.045597,           0.0097119,           0.0051835,             0.73293,             0.64509,             0.70051,             0.43393,            0.047148,           0.0061889,             0.00537,            0.009109,            0.009109,            0.009109
                  11,            0.044664,           0.0098419,           0.0045685,              0.7639,              0.6906,             0.74487,             0.51663,            0.045486,            0.006297,           0.0095986,             0.00901,             0.00901,             0.00901
                  12,            0.042782,            0.009054,           0.0033052,             0.93824,             0.71064,             0.76881,              0.5105,            0.048752,           0.0055575,           0.0077027,            0.008911,            0.008911,            0.008911
                  13,            0.040525,           0.0091166,           0.0036118,             0.83483,             0.74957,             0.76779,             0.52747,            0.038519,           0.0052855,           0.0022284,            0.008812,            0.008812,            0.008812
                  14,            0.038754,           0.0087324,           0.0039775,             0.88577,             0.75442,             0.78441,             0.50748,            0.040155,           0.0050061,           0.0023737,            0.008713,            0.008713,            0.008713
                  15,            0.037922,           0.0087912,           0.0047863,             0.92913,              0.7568,             0.79023,             0.50409,             0.03734,           0.0056884,           0.0018493,            0.008614,            0.008614,            0.008614
                  16,            0.038023,           0.0084804,           0.0036854,             0.98284,             0.77031,             0.79344,             0.52781,            0.038214,           0.0047298,           0.0019309,            0.008515,            0.008515,            0.008515
                  17,            0.038693,           0.0085478,           0.0034177,             0.96158,             0.77698,             0.80071,             0.56218,            0.035387,           0.0045991,           0.0020658,            0.008416,            0.008416,            0.008416
                  18,            0.038251,           0.0086669,           0.0032292,             0.91005,             0.77323,             0.79653,             0.53633,            0.037367,           0.0047909,           0.0035811,            0.008317,            0.008317,            0.008317
