               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098159,            0.018727,            0.034619,             0.42473,            0.082522,             0.13555,            0.074835,             0.08691,            0.014562,            0.027322,           0.0032813,           0.0032813,            0.070469
                   1,            0.081519,            0.017618,            0.017756,             0.53179,             0.28066,             0.23836,             0.11655,            0.089199,            0.010767,           0.0073202,           0.0065491,           0.0065491,            0.040403
                   2,            0.078138,            0.014902,           0.0073382,             0.45837,             0.25046,             0.25627,             0.12185,             0.08297,            0.008772,           0.0041714,           0.0097509,           0.0097509,            0.010272
                   3,            0.071728,            0.014107,           0.0061942,              0.5133,             0.30448,             0.31503,             0.12187,            0.077533,           0.0090807,            0.014378,            0.009703,            0.009703,            0.009703
                   4,            0.063882,            0.013148,           0.0051998,             0.63365,             0.37684,             0.36857,             0.17173,            0.063867,           0.0090201,           0.0052834,            0.009703,            0.009703,            0.009703
                   5,            0.062852,            0.012994,           0.0048627,             0.85387,             0.36878,             0.45913,             0.23104,            0.067783,           0.0086397,            0.006622,            0.009604,            0.009604,            0.009604
                   6,            0.059783,            0.012724,           0.0048514,             0.70234,             0.40285,             0.44743,             0.20001,            0.062421,           0.0086701,           0.0039588,            0.009505,            0.009505,            0.009505
                   7,            0.056745,            0.012508,           0.0034229,             0.78359,              0.3996,             0.45666,             0.21164,            0.062217,           0.0082577,           0.0054335,            0.009406,            0.009406,            0.009406
                   8,            0.056225,            0.012797,           0.0034421,              0.8276,             0.45081,             0.55303,             0.25071,            0.058538,           0.0083642,           0.0044458,            0.009307,            0.009307,            0.009307
                   9,            0.055267,            0.012669,           0.0030378,             0.74705,             0.46309,             0.50968,             0.25541,            0.057975,           0.0080496,           0.0049102,            0.009208,            0.009208,            0.009208
                  10,            0.054165,            0.012349,           0.0026103,             0.85637,             0.47886,             0.56393,             0.27681,            0.057507,           0.0080274,             0.00329,            0.009109,            0.009109,            0.009109
                  11,            0.053031,            0.012014,           0.0024804,              0.7995,             0.43533,             0.52937,             0.26664,            0.058055,           0.0079333,           0.0024889,             0.00901,             0.00901,             0.00901
                  12,            0.051614,             0.01139,           0.0021785,             0.85225,             0.45666,             0.56874,             0.29076,             0.05603,           0.0076206,           0.0010621,            0.008911,            0.008911,            0.008911
                  13,            0.051603,            0.011726,           0.0025075,             0.81181,             0.48292,             0.60045,             0.28801,            0.055425,            0.007723,          0.00099439,            0.008812,            0.008812,            0.008812
                  14,            0.050903,            0.011827,           0.0020231,             0.87213,             0.46886,             0.58453,             0.29905,            0.055663,           0.0077294,          0.00068198,            0.008713,            0.008713,            0.008713
